valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,emotion
0.487,1926,0.00746,['Future Rapper'],0.797,81000,0.516,0,0YFDGOIR9ubDqWCvsUQKY0,0.229,11,0.0972,-12.679,0,HF V CMV.Iii,7,03-10-1926,0.252,151.114,Angry
0.27,1926,0.0311,['Future Rapper'],0.401,78000,0.61,0,02R3JMuw0E8uloMBpHG3Yz,0.97,2,0.637,-12.807,1,Submission Accomplice,0,03-10-1926,0.0277,160.24,Angry
0.473,1927,0.972,['Jimmie Rodgers'],0.664,177627,0.543,0,4Qd1Z8cEtk9OvRrEsrOnPm,0.0,1,0.32,-4.933,0,Train Whistle Blues,2,1927,0.0374,110.225,Angry
0.473,1927,0.972,['Jimmie Rodgers'],0.664,177627,0.543,0,0FG1HU2XwTC6jPk2akxjb3,0.0,1,0.32,-4.933,0,Train Whistle Blues,0,1927,0.0374,110.225,Angry
0.0949,1927,0.0235,['Numba 9'],0.63,278622,0.723,1,0cpkqvPmf7kNmmvPYZjMwH,1.66e-05,0,0.186,-3.529,1,Trash Bags of That Sour,0,1927,0.049,156.888,Angry
0.32,1927,0.568,['Numba 9'],0.461,264673,0.757,1,0hwDkCoXA68Hy297eSLAHT,0.0,4,0.146,-3.993,0,I Be on the Grind,0,1927,0.386,74.703,Angry
0.259,1928,0.847,['Benny Goodman'],0.626,520133,0.744,0,61znp1Iy11bdJ2YAbwaqw7,0.892,2,0.145,-9.189,0,"Sing, Sing, Sing",51,1928,0.0662,113.117,Angry
0.409,1928,0.981,['Benny Goodman Big Band'],0.421,258933,0.529,0,6zBudWcma03SHqOHV79K9B,0.859,0,0.739,-10.645,1,Don't Be That Way - Live,10,1928,0.0525,166.841,Angry
0.302,1929,0.944,"['Francisco Canaro', 'Charlo']",0.618,191240,0.52,0,1N2P2VZ0TzV6pUJW0OiRdi,0.354,8,0.21,-9.036,1,Mientras Llora el Tango - Remasterizado,0,04-10-1929,0.165,121.083,Angry
0.0697,1930,0.482,['Joe Quartz'],0.484,235280,0.54,0,5Oj3IKohoeL6IcLYfUXDWz,0.72,8,0.089,-10.929,1,Sait-On zamais,15,1930,0.0382,88.467,Angry
0.426,1930,0.854,['H.P. Lovecraft'],0.718,125022,0.53,0,05uPuG1uFHBPHZdPWgYJp1,0.0,10,0.312,-16.731,0,Capítulo 12.5 & Capítulo 13.1 - el Que Susurraba en la Oscuridad,0,1930,0.929,117.13,Angry
0.292,1931,0.957,['Sexteto Habanero'],0.459,166945,0.867,0,5KTVSSCVKkmKeH6pruMBkB,0.941,7,0.129,-17.102,0,La Chambelona,18,01-07-1931,0.0475,113.188,Angry
0.0985,1931,0.712,['Sax Man Mike Clark'],0.478,296747,0.617,0,0oeVOKCrE6UMj3snPXlsrE,0.827,0,0.206,-8.444,1,Summer Blues,0,01-02-1931,0.0287,75.047,Angry
0.459,1932,0.981,"['Marcel Pagnol', 'Charpin', 'Raimu', 'Oriane Demazis']",0.555,483693,0.685,0,0RIQG7hbrIozJATpHhE8Nt,0.0,2,0.205,-11.756,1,"Acte 2, scène 8",0,1932,0.932,84.166,Angry
0.414,1932,0.978,"['Charpin', 'Oriane Demazis', 'Mouries']",0.581,543760,0.551,0,0glULq7EtviZ8P5g9UM5fb,0.0,8,0.239,-11.967,1,"Acte 2, scène 6",0,1932,0.936,84.817,Angry
0.468,1932,0.974,"['Marcel Pagnol', 'Charpin', 'Raimu']",0.594,436133,0.769,0,1vf50stG1IEfnF3osppzCX,0.0,8,0.313,-11.282,1,"Acte 2, scène 7",0,1932,0.893,99.559,Angry
0.467,1934,0.00292,['Nomy'],0.659,188996,0.619,0,0h9L214er9GQUkyO8m8iZb,0.0,8,0.265,-8.966,0,Bright Blue Eyes - LOL Edit,2,06-06-1934,0.0884,122.377,Angry
0.487,1934,0.859,['Maurice Jaubert'],0.438,132328,0.569,0,0yGz35gJAvlXO3MTB7Undz,0.879,5,0.354,-7.084,0,Part.3 (From En Crète sans les dieux) (1934),0,01-01-1934,0.0574,129.259,Angry
0.0,1934,0.00244,['The Moors'],0.0,14629,0.801,0,29IVdlO7CSlcoOIpOsamkO,0.00125,4,0.0503,-0.671,0,Santa Claus Is Coming To Town,0,1934,0.0,0.0,Angry
0.498,1934,6.14e-05,['The Psychedelic Scorzonera'],0.571,190920,0.626,0,2Ium9amjptrstWpnnWV0L1,0.269,0,0.11,-6.36,0,The Way We Are,0,1934,0.0283,131.252,Angry
0.413,1934,0.00156,['Nomy'],0.555,243562,0.544,0,2TRdwvDxe4wLjC3omjBomU,0.0,9,0.118,-11.85,0,I Hate - LOL Edit,3,06-06-1934,0.0369,129.981,Angry
0.191,1934,6.56e-05,"['Mark Gamble', 'Mad Dog']",0.538,524200,0.971,0,2TcoC0N8rdk1EtGsxz2Kwe,0.824,9,0.104,-5.002,1,No Angles - Feel It Club Mix,0,1934,0.0373,139.998,Angry
0.305,1935,0.818,['Benny Goodman'],0.624,519733,0.662,0,5AdnVDV1VPAdCQRHUvRpkH,0.924,2,0.121,-11.546,0,"Sing, Sing, Sing",5,1935,0.0551,113.575,Angry
0.269,1935,0.907,['Lead Belly'],0.517,255399,0.843,0,1JSdH5hcbFP2B3UDWXLYNi,0.261,4,0.157,-11.733,1,Governor O.K. Allen (46-A),4,1935,0.942,176.103,Angry
0.159,1937,0.0275,['Springtoifel'],0.413,215053,0.994,0,0KtYO2ELHWdpC9iH329RIx,0.0,0,0.146,-3.643,1,Weck Worscht & OI!,0,1937,0.182,84.782,Angry
0.187,1937,0.226,['Springtoifel'],0.161,197293,0.988,0,0LC9LGn05epQ3CMsNcKMuy,0.0,9,0.125,-4.517,1,Auf's Maul,1,1937,0.13,165.808,Angry
0.176,1937,0.212,['Springtoifel'],0.255,192000,0.588,0,0MdekFPA27qsLukxijuY8y,0.741,11,0.121,-13.332,1,Satanische Takte,0,1937,0.0502,167.867,Angry
0.382,1938,0.464,['Benny Goodman Big Band'],0.464,252400,0.569,0,4hKAtK5wZ2ionlboLtt5Qj,0.793,6,0.268,-12.352,1,Don't Be That Way - Live,15,1938,0.0517,166.64,Angry
0.435,1938,0.646,['Benny Goodman'],0.58,55227,0.889,0,5Eum7gvyrgRdWS9to9c08K,0.819,7,0.427,-11.911,1,Shine - Live,10,1938,0.694,176.195,Angry
0.3,1938,0.654,['Benny Goodman'],0.427,291400,0.93,0,6oGZyUWhRx6wBVUfevTwtc,0.747,5,0.954,-13.846,1,I Got Rhythm - Live,13,1938,0.0445,152.623,Angry
0.325,1938,0.56,['Benny Goodman'],0.458,355240,0.571,0,2NXitqJD5f5WvCOtXnsQVV,0.457,11,0.503,-14.76,1,Stompin' at the Savoy - Live,9,1938,0.036,169.509,Angry
0.297,1938,0.473,['Benny Goodman'],0.367,52200,0.94,0,6uidiSJ2xvXO6VPLDax7nR,0.774,0,0.421,-13.034,1,When My Baby Smiles at Me - Live,10,1938,0.372,185.574,Angry
0.372,1938,0.764,['Benny Goodman'],0.471,158227,0.645,0,2jt39IH02k1uGXLxYKOavb,0.745,11,0.411,-11.38,1,Swingtime In the Rockies - Live,9,1938,0.532,134.473,Angry
1e-05,1938,0.0132,['Benny Goodman'],0.175,41240,0.999,0,6WZeWvIq7tPj2WwlCLwTEh,0.916,10,0.518,-19.789,0,"Applause, Transition to Twenty Years of Jazz - Live",9,1938,0.471,82.808,Angry
0.0374,1938,8.96e-05,['Benny Goodman'],0.248,39560,0.516,0,2OCiQGct4wAUOQcHmSkHif,0.849,10,0.41,-25.254,0,Setting Up for Jam Session - Live,8,1938,0.354,85.935,Angry
1e-05,1938,0.88,['Benny Goodman'],0.298,73933,1.0,0,4jmpeJO5XS9MukFzhARGrS,0.889,6,0.403,-19.537,1,Applause; Benny Goodman's 'No Encore' Announcement - Live,7,1938,0.095,93.226,Angry
0.0171,1938,0.00985,['Benny Goodman'],0.191,59933,0.884,0,5vMr5fkLJIk7u0hqQKcI2f,0.843,1,0.412,-24.609,1,Applause; Setting Up & Tuning Up for BG Small Groups - Live,7,1938,0.486,79.205,Angry
1e-05,1938,0.461,['Benny Goodman'],0.201,62827,0.985,0,1RGSi9aDO691Hxb90Yi9VG,0.561,1,0.974,-25.159,1,Applause Until Encores - Live,6,1938,0.095,106.169,Angry
1e-05,1938,0.835,['Benny Goodman'],0.264,41093,1.0,0,3RFogvPJRYXVCv9qlotTKK,0.693,11,0.951,-22.887,0,Applause; Transition Back to Goodman Orchestra for Finale - Live,5,1938,0.0722,52.339,Angry
0.0144,1938,0.00114,['Benny Goodman'],0.165,32173,0.664,0,5zwbTwolXfieUvPv8QkhET,0.9,6,0.381,-26.748,0,Applause; Setting-up for BG Small Groups - Live,6,1938,0.153,78.645,Angry
0.459,1939,0.88,['The Munchkins'],0.685,47333,0.875,0,4maOOupWP90I0dXFU9m81b,0.148,2,0.125,-13.625,0,Ding-Dong! The Witch Is Dead,35,25-08-1939,0.0701,126.645,Angry
0.3,1939,0.844,"['Ken Darby', 'MGM Studio Chorus']",0.79,74933,0.554,0,76XbS6Xu0CsSnwRs7O1lND,0.908,5,0.48,-16.917,1,Ding-Dong! Emerald City - Outtake,24,25-08-1939,0.0585,119.785,Angry
0.135,1939,0.766,['MGM Studio Orchestra'],0.284,190093,0.522,0,7sNfKWgSEvrd5XI2BS1i65,0.897,9,0.709,-10.59,1,Dorothy's Rescue - Extended Version,18,25-08-1939,0.0447,80.787,Angry
0.23,1939,0.731,['MGM Studio Orchestra'],0.29,118467,0.636,0,4U49Tp1aVdymk7KYbhtDgv,0.76,11,0.342,-19.684,0,Cyclone - Final Film Version,17,25-08-1939,0.174,136.357,Angry
0.274,1939,0.843,"['Ken Darby', 'MGM Studio Chorus']",0.789,76333,0.539,0,1qRjSfnlZt52MaauHAJKzK,0.904,5,0.0937,-17.074,1,Ding-Dong! Emerald City - Outtake,15,25-08-1939,0.0668,119.715,Angry
0.451,1939,0.945,['Umm Kulthum'],0.307,295760,0.506,0,4jFZQhbP8ZDm5eZMdYCPdp,6.09e-05,1,0.851,-10.854,1,Ya Leilet El Eid,21,01-01-1939,0.0551,114.7,Angry
0.277,1939,0.715,['Glenn Miller'],0.488,228493,0.8,0,1tmpvKWlFMh09dWYMvCqdu,0.687,10,0.0745,-8.851,1,Moonlight Serenade / Running Wild - Live,11,1939,0.139,139.531,Angry
0.427,1940,0.77,['Max Steiner'],0.28,167893,0.671,0,63zTCHDuPIFOkqmf14akdT,0.899,2,0.241,-7.701,0,Escape from Atlanta,12,17-01-1940,0.0403,118.649,Angry
0.371,1940,0.694,"['Duke Ellington', 'Duke Ellington Orchestra']",0.608,275133,0.618,0,0lU0eFIggcIiEO9QpUZwlQ,0.307,5,0.435,-14.926,0,The Flaming Sword,6,01-01-1940,0.137,110.737,Angry
0.493,1940,0.828,"['Duke Ellington', 'Duke Ellington Orchestra']",0.567,203533,0.563,0,1LadyWhAV3uydmeK7biXOy,0.766,3,0.957,-16.316,0,Slap Happy,6,01-01-1940,0.378,93.34,Angry
0.433,1941,0.626,['Kishore Kumar'],0.303,270760,0.5,0,3B8bcFnGkEfTy6k2D4NAet,9.16e-05,7,0.239,-9.223,0,Yaadon Mein Woh,6,01-12-1941,0.037,124.611,Angry
0.18,1941,0.0028,['Local Oafs'],0.27,112663,0.984,0,0UypLhSgXmUEkCLroU30PB,0.0143,9,0.15,-4.75,1,Mig Fångar Ingen Brud,0,06-06-1941,0.091,97.415,Angry
0.155,1941,0.00416,['Local Oafs'],0.0976,54335,0.991,0,0au2ii802F9XqGXlkxjQGC,0.0,7,0.627,-3.599,1,Valentines Day,0,06-06-1941,0.151,187.181,Angry
0.484,1942,0.839,['Mina'],0.395,234083,0.613,0,1UMvHuBLWux0OThCRbJLl5,6.88e-06,9,0.382,-5.133,1,Le mille bolle blù,13,13-11-1942,0.0526,126.774,Angry
0.424,1942,0.668,"['Mohammed Rafi', 'Mehmood']",0.321,402227,0.888,0,3TQw59tdrtW1KemwLPRUgo,0.0668,2,0.56,-10.124,1,Saj Rahi Gali Meri Maa,2,01-12-1942,0.367,99.78,Angry
0.245,1943,0.941,['Warner Bros Studio Orchestra'],0.557,275067,0.598,0,5HS7irZ8xbaSqamJCyFjWy,0.0,2,0.114,-12.252,1,Medley (Die Wacht Am Rhein / La Marseillaise),13,23-01-1943,0.562,118.423,Angry
0.223,1943,0.901,['Warner Bros Studio Orchestra'],0.435,400267,0.759,0,3Ij1a9jBlUrNpkgHNT1TL4,6.42e-05,5,0.362,-11.478,1,"Airport Finale / Here's Looking At You, Kid",11,23-01-1943,0.47,108.977,Angry
0.376,1943,0.937,['Warner Bros Studio Orchestra'],0.528,143893,0.512,0,1y6mjHiyMhtQEV1VnLeEVZ,1.76e-05,1,0.227,-14.278,0,Rick Confronts Ilsa and Laszlo,8,23-01-1943,0.62,112.865,Angry
0.368,1943,0.562,"['Bastiaan Everink', 'Marine Band Of The Royal Netherlands Navy', 'Major Peter Kleine Schaars', 'Nanouck Brassers']",0.311,290064,0.528,0,0W9ZgvIwHoKxqCSZSEXkOM,0.0396,3,0.134,-7.279,1,The XMAS Letter,0,23-03-1943,0.0867,78.861,Angry
0.18,1943,0.00402,['אומן האור ומלך הסבון'],0.401,188653,0.951,0,0YziX3ZU71oG6pJLPv4rTd,0.00816,4,0.838,-5.335,1,B.C,0,09-05-1943,0.0958,137.205,Angry
0.129,1943,0.629,['אומן האור ומלך הסבון'],0.316,776413,0.501,0,0kzkcWGj0C213Kp0LIU4HA,0.558,7,0.108,-19.798,1,The Brown Note,0,09-05-1943,0.151,83.604,Angry
0.0597,1943,5.62e-05,['אומן האור ומלך הסבון'],0.178,216187,0.927,0,1AVbZf4q2Alxm88uf3tMpM,0.937,11,0.239,-7.437,1,Master of Light & the King of Soup,0,09-05-1943,0.13,137.571,Angry
0.481,1943,0.97,['Tanguturi Suryakumari'],0.308,273720,0.599,0,1JxqtQJjtilX98Qn7XYke3,0.312,7,0.203,-6.856,0,Krishnaa Kelilola,0,31-12-1943,0.114,82.723,Angry
0.273,1943,0.00212,['אומן האור ומלך הסבון'],0.567,130173,0.854,0,1THXHMCfXCyB5iOij6gnn5,0.905,1,0.0747,-11.273,1,Ooh-La!,0,09-05-1943,0.145,175.998,Angry
0.43,1943,0.66,"['Marine Band Of The Royal Netherlands Navy', 'Major Peter Kleine Schaars', 'René Hendrickx']",0.435,221147,0.571,0,1klPqQdWIDUqafmGtcQQEd,0.869,1,0.0634,-7.454,1,Driving Home for Christmas,0,23-03-1943,0.0289,94.233,Angry
0.368,1944,0.865,"['Lata Mangeshkar', 'Mohammed Rafi']",0.348,219534,0.782,0,2XkbwxY8qlq7plk672Z7wR,0.000639,0,0.169,-4.703,1,Mere Mitwa Mere Meet Re - Duet,9,01-12-1944,0.0477,90.408,Angry
0.262,1944,0.599,['DYING SPASM'],0.293,380402,0.675,0,0Rpa5IK8WtxVcNpqROebqJ,0.9,1,0.617,-1.53,1,usurper rapture,0,09-06-1944,0.144,139.918,Angry
0.494,1946,0.833,['Dizzy Gillespie'],0.553,197467,0.61,0,3EoNa8CdYCmW0WJwa5kaYA,0.108,5,0.133,-10.217,0,Cubana Bop,6,1946,0.429,157.474,Angry
0.489,1946,0.819,['Dizzy Gillespie'],0.583,192667,0.552,0,7AoPpX642DWeeY2SA9s7KF,1.99e-05,5,0.28,-10.011,1,Guarachi Guaro,6,1946,0.421,153.163,Angry
0.353,1947,0.979,['Lyn Murray'],0.274,109655,0.502,0,7bcxvj3zWquCHOYBolNIau,0.831,4,0.877,-8.209,1,Main Theme [From To Catch a Thief) (1955),7,01-01-1947,0.032,132.585,Angry
0.487,1948,0.944,['Los Panchos'],0.65,185560,0.525,0,6fy5Q2Pkdltq3GkDD6UXRk,0.000125,1,0.253,-7.373,1,Mi Último Fracaso,30,1948,0.0531,98.566,Angry
0.0701,1948,0.261,['Duke Ellington'],0.411,409667,0.956,0,14pU7KR5YqN8UQB2uO8Leg,0.217,7,0.194,-9.475,1,Skin Deep,13,1948,0.105,102.017,Angry
0.395,1948,0.965,['Dizzy Gillespie'],0.503,348853,0.558,0,1Lu4LUCLm9qH7kozw1E9OB,0.741,5,0.934,-13.213,1,Afro-Cuban Drum Suite - Live,7,1948,0.204,153.991,Angry
0.344,1948,0.94,['Dizzy Gillespie'],0.413,310573,0.753,0,2IoW9tLOyVAxpw23HnoN1o,0.0606,1,0.957,-9.499,1,Ool-Ya-Koo - Live,4,1948,0.346,99.034,Angry
0.361,1948,0.86,['Dizzy Gillespie'],0.469,197027,0.784,0,4Kql6UVUUgK0VyzdmKwsLU,0.892,10,0.97,-7.545,0,Algo Bueno - Woody'n You - Live,5,1948,0.279,80.647,Angry
0.31,1948,0.94,['Dizzy Gillespie'],0.428,242160,0.669,0,04a4EprVwS04gq4CEnZcRE,0.775,7,0.909,-10.539,1,Two Bass Hit - Live,3,1948,0.0854,93.148,Angry
0.226,1948,0.869,['Dizzy Gillespie'],0.337,187680,0.865,0,0wn3VZC3t3XolKBw2koTL0,0.467,0,0.91,-6.623,1,Things to Come - Live,3,1948,0.152,81.027,Angry
0.432,1948,0.865,"['Johnny Green', 'MGM Studio Orchestra']",0.485,68133,0.708,0,2MeVbRCcWuGULM1KHefk5t,0.797,0,0.146,-16.807,1,This Is the Life (Dog Act),4,08-07-1948,0.0408,158.658,Angry
0.487,1949,0.814,['Mitch Miller & The Gang'],0.346,251240,0.754,0,3PqpB3DYGE5cYqRMfzHQqq,0.0,8,0.131,-16.973,1,The Twelve Days of Christmas,35,1949,0.056,121.356,Angry
0.392,1950,0.517,"['Zsa Zsa Padilla', 'Freestyle']",0.51,258707,0.637,0,5bM6kxUaqFlL5X3AXmGjNM,0.0,1,0.811,-8.787,0,Incomplete,26,01-01-1950,0.0471,128.311,Angry
0.171,1950,0.00012,['Ouija Macc'],0.656,187606,0.799,1,3jpdb0kuS4ZRBimH10lBG3,0.0,1,0.638,-4.37,1,Trashfire,12,30-04-1950,0.0312,141.995,Angry
0.114,1950,0.0326,['Ouija Macc'],0.72,112307,0.792,1,1kDZlzNh1yl58bC0WgezXG,0.0505,1,0.136,-2.803,1,Turn out All the Lights,12,30-04-1950,0.0985,155.04,Angry
0.281,1950,0.0892,"['Ouija Macc', 'Crybaby Ouija']",0.721,102500,0.809,1,4kQFKQXiWzwqL9SkYqHkAP,0.0,7,0.193,-2.43,0,Piece of Shit,11,30-04-1950,0.0278,95.994,Angry
0.42,1950,0.853,['Mitch Miller'],0.437,195558,0.558,0,2WJNadPYVtb15FdBwq1QxT,0.0,3,0.207,-10.848,1,You Are My Sunshine,14,1950,0.0302,65.948,Angry
0.115,1950,0.0556,"['Ouija Macc', 'Your Mom']",0.398,156000,0.859,1,4PwSNaDnoAJkhUMDnNjCSt,0.000407,1,0.371,-4.67,1,Leacc,11,30-04-1950,0.396,149.939,Angry
0.178,1950,0.322,"['Ouija Macc', 'Ur Uncle Gary']",0.714,156098,0.57,1,5PhAqANWUZzLWeTn8VAq9b,0.00755,1,0.168,-5.507,1,Hair Shawty,11,30-04-1950,0.229,123.038,Angry
0.199,1951,0.236,['Ouija Macc'],0.81,235056,0.621,1,0CCOZO3DkKS9gxbeDHzZ30,0.0,10,0.187,-8.472,0,Dead Body Man III,20,25-12-1951,0.395,145.035,Angry
0.0513,1951,0.0183,"['Ouija Macc', 'Kold-Blooded']",0.741,218156,0.514,1,7trOGEnj7MHkvCZJ78g29m,0.0578,1,0.0844,-6.856,1,Swang,9,25-12-1951,0.0524,142.914,Angry
0.387,1953,0.805,['Charlie Parker'],0.429,188960,0.62,0,563zP8kjlLEHzTfKQTsVvH,0.0414,0,0.166,-10.683,1,Lover,14,23-09-1953,0.0597,136.039,Angry
0.452,1953,0.831,['Jimmy & Walter'],0.487,177831,0.645,0,0AhJUiw9bNh8aT7KPbtUqH,0.537,10,0.519,-5.844,1,Easy,8,01-01-1953,0.0359,81.373,Angry
0.304,1954,0.583,['Dizzy Gillespie'],0.357,250933,0.632,0,6B7KCxP46cF2Fc28Dkcin9,0.105,10,0.138,-11.653,0,Manteca Theme,34,26-01-1954,0.112,79.002,Angry
0.426,1954,0.808,['Dizzy Gillespie'],0.374,284400,0.78,0,3bjiPnT0gZHA1V2cbzTYq2,0.931,8,0.124,-10.005,0,Jungla,30,26-01-1954,0.0944,178.839,Angry
0.398,1954,0.813,['Dizzy Gillespie'],0.511,259200,0.647,0,73z20rpc2F1BMJUTbvHmTq,0.887,9,0.0916,-11.652,0,A Night In Tunisia,30,26-01-1954,0.0707,106.282,Angry
0.493,1954,0.656,"['Richard Adler', 'Jerry Ross', 'Carol Haney', 'Peter Gennaro', 'Jim Hutchison', 'The Original Broadway Cast Of The Pajama Game', 'Hal Hastings']",0.505,267507,0.565,0,0SJ0T1EniphXlLAhwIUwgr,4.71e-05,5,0.409,-9.216,1,The Pajama Game: Steam Heat,18,1954,0.179,138.105,Angry
0.416,1959,0.753,['The Isley Brothers'],0.489,268560,0.866,0,2ZNTPtYmAhN9vCwnAgqKn1,0.0,10,0.876,-7.433,1,"Shout, Pts. 1 & 2",62,21-08-1959,0.0933,138.63,Angry
0.464,1959,0.76,['Bobby Darin'],0.549,184333,0.529,0,3E5ndyOfO6vFDEIE42HA8o,0.0,3,0.206,-12.291,0,Mack the Knife,63,1959,0.108,82.755,Angry
0.447,1959,0.455,['Henry Mancini'],0.471,126333,0.669,0,3RRdmSE4Vytb60hakTWNb3,0.692,10,0.284,-9.135,0,Peter Gunn,44,1959,0.0528,119.165,Angry
0.322,1961,0.497,['John Coltrane'],0.364,697946,0.541,0,2urSBQat1mXT6bLgCunxAy,0.0827,7,0.119,-10.379,0,Summertime,39,1961,0.0545,80.339,Angry
0.165,1961,0.885,"['Richard Wagner', 'Eugene Ormandy', 'Philadelphia Orchestra']",0.199,299627,0.513,0,55HpcVkp2r5q3vh9DtOKvl,0.941,11,0.267,-9.695,1,Die Walküre: Ride of the Valkyries,40,1961,0.0336,95.389,Angry
0.331,1961,0.407,['Miles Davis Quintet'],0.489,366973,0.828,0,3N8RYqxZwy3IGACBYzZ4lN,0.00498,4,0.124,-7.114,1,Salt Peanuts,36,1961,0.0759,91.509,Angry
0.323,1961,0.896,"['Leonard Bernstein', 'West Side Story Orchestra', 'Johnny Green']",0.22,280067,0.533,0,513mEnijhLWoGVhrFiU0Se,0.878,9,0.125,-11.888,1,West Side Story: Overture,36,1961,0.0915,81.817,Angry
0.114,1961,0.751,"['Leonard Bernstein', 'West Side Story Orchestra', 'Johnny Green']",0.414,396933,0.523,0,68CJ6EJXhbmUOwkOk74w6N,0.305,5,0.176,-11.759,1,West Side Story: Act I: Prologue,34,1961,0.244,134.831,Angry
0.36,1963,0.395,['Darlene Love'],0.325,166453,0.759,0,46pF1zFimM582ss1PrMy68,0.000362,8,0.0773,-7.146,1,Christmas (Baby Please Come Home),70,1963,0.053,126.627,Angry
0.356,1963,0.189,['The Ronettes'],0.311,157613,0.664,0,0EwuAHdON2ma8UBa7Flpee,7.34e-06,9,0.129,-8.179,1,I Saw Mommy Kissing Santa Claus,52,1963,0.0377,146.292,Angry
0.447,1963,0.604,['Darlene Love'],0.487,146080,0.759,0,12YAgUbl6Uk9E7fzopF4Ji,0.0,0,0.185,-8.093,1,Winter Wonderland,50,1963,0.0408,122.306,Angry
0.488,1963,0.21,"['Duke Ellington', 'John Coltrane']",0.478,267133,0.517,0,5PGnB8aUHVm6tvYRHy4i30,0.0006,7,0.523,-11.592,1,Big Nick,42,1963-02,0.0447,122.97,Angry
0.228,1964,0.000385,['The Animals'],0.295,271280,0.584,0,7BY005dacJkbO6EPiOh2wb,0.218,9,0.0996,-6.696,0,House Of The Rising Sun,70,01-01-1964,0.0345,117.2,Angry
0.414,1964,0.749,['Herbie Hancock'],0.515,333947,0.583,0,0sCeNwt8xRCMR4NhKpMyBe,0.000294,0,0.123,-8.182,0,Cantaloupe Island - Remastered 1999 / Rudy Van Gelder Edition,63,17-06-1964,0.0284,116.11,Angry
